Tangga,Bandar/Bandaraya,Populasi 1991,Populasi 2000,Populasi 2010
1,Johor Bahru,"442,252",0,"916,409"
2,Tebrau,"21,697","160,028","559,804"
3,Pasir Gudang,"28,220","89,317","223,548"
4,Bukit Indah,,"43,326","216,906"
5,Skudai,"19,725","93,405","203,420"
6,Kluang,"98,837","134,882","188,521"
7,Batu Pahat,"84,538","123,237","184,730"
8,Muar,"70,637","102,273","152,255"
9,Ulu Tiram,"49,829","97,402","109,205"
10,Senai,"18,633","45,483","107,756"
11,Segamat,"41,079","56,706","80,284"
12,Kulai,"29,966","48,149","80,153"
13,Kota Tinggi,"24,351","39,006","64,739"
14,Pontian Kechil,"30,194","41,187","57,582"
15,Tangkak,"17,036","26,763","43,524"
16,Bukit Bakri,"10,005","20,123","40,355"
17,Yong Peng,"12,289","20,257","34,689"
18,Pekan Nenas,"10,035","17,182","30,648"
19,Labis,"12,892","17,789","25,183"
20,Mersing,"19,058","20,094","21,309"
21,Simpang Renggam,,"14,976","18,711"
22,Parit Raja,,"14,901","18,618"
23,Kelapa Sawit,,"11,311","14,132"
24,Buloh Kasap,,"11,182","13,971"
25,Chaah,,"10,119","12,644"
Tangga,Bandar / Daerah,Populasi 1991,Populasi 2000,Populasi 2010
1,Sungai Petani,"254,372","339,898","456,605"
2,Alor Setar,"322,354","354,433","366,787"
3,Kulim,"128,356","191,160","287,694"
4,Jitra /,"157,963","186,265","220,740"
5,Baling,"114,845","124,947","135,646"
6,Pendang,"83,092","89,790","94,962"
7,Langkawi,"42,938","69,597","94,777"
8,Yan,"60,483","62,497","68,319"
9,Sik,"54,466","59,691","67,378"
10,Kuala Nerang,"50,726","55,899","62,896"
11,Pokok Sena,-,-,"49,5063"
12,Bandar Baharu,"33,006","37,932","42,3413"
Tangga,Bandar/Bandaraya,Populasi 1991,Populasi 2000,Populasi 2010
1,Kota Bharu,"284,604","312,714","491,237"
2,Pengkalan Kubor,"29,431","34,672","41,197"
3,Tanah Merah,"21,678","24,803","28,565"
4,Peringat,"18,251","20,650","23,499"
5,Wakaf Bharu,"14,312","16,997","20,374"
6,Kadok,"15,352","17,159","19,272"
7,Pasir Mas,"15,267","17,092","19,231"
